,Unnamed: 0,property_type,place_name,state_name,lat-lon,price,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_per_m2,expenses,state_code,place_code,property_type_code
263,1617,apartment,Recoleta,Capital Federal,"-34.591376,-58.395475",163000.0,163000.0,89.0,30.0,5433.333333333333,,0,15,1
264,1618,apartment,Recoleta,Capital Federal,"-34.588761,-58.384762",1250000.0,1250000.0,295.0,295.0,4237.28813559322,,0,15,1
265,1619,apartment,Coghlan,Capital Federal,"-34.565023,-58.471804",181400.0,181400.0,62.0,47.0,3859.574468085106,,0,28,1
266,1620,apartment,Coghlan,Capital Federal,"-34.565023,-58.471804",98800.0,98800.0,38.0,34.0,2905.8823529411766,,0,28,1
267,1621,apartment,Balvanera,Capital Federal,"-34.610365,-58.411821",105000.0,105000.0,45.0,40.0,2625.0,,0,8,1
268,1631,apartment,Palermo Soho,Capital Federal,"-34.5899723,-58.4236546",90000.0,90000.0,38.0,38.0,2368.421052631579,1500.0,0,2,1
269,1648,apartment,Balvanera,Capital Federal,"-34.6056268,-58.392264",146000.0,146000.0,53.0,53.0,2754.716981132075,1400.0,0,8,1
270,1649,apartment,Centro / Microcentro,Capital Federal,"-34.6032728,-58.3961414",89000.0,89000.0,34.0,26.0,3423.0769230769233,,0,43,1
271,1650,PH,Colegiales,Capital Federal,"-34.5776674,-58.4608381",429000.0,429000.0,265.0,200.0,2145.0,,0,20,0
272,1652,apartment,Liniers,Capital Federal,"-34.640523,-58.5293313",88000.0,88000.0,67.0,60.0,1466.666666666667,800.0,0,44,1
273,1657,store,Centro / Microcentro,Capital Federal,"-34.599865,-58.37584",295000.0,295000.0,40.0,40.0,7375.0,,0,43,3
274,1658,apartment,Floresta,Capital Federal,"-34.636134,-58.4915095",83000.0,83000.0,45.0,45.0,1844.4444444444448,,0,13,1
275,1659,apartment,Floresta,Capital Federal,"-34.6361282,-58.4915117",83000.0,83000.0,45.0,45.0,1844.4444444444448,,0,13,1
276,1660,apartment,Caballito,Capital Federal,"-34.613614,-58.4626458",70900.0,70900.0,32.0,30.0,2363.333333333333,,0,9,1
277,4287,apartment,Parque Avellaneda,Capital Federal,"-34.6529070509,-58.4763292624",70000.0,70000.0,48.0,48.0,1458.333333333333,,0,33,1
278,4290,apartment,Recoleta,Capital Federal,"-34.5968661,-58.4031951",107000.0,107000.0,35.0,35.0,3057.142857142857,,0,15,1
279,4294,house,Belgrano,Capital Federal,"-34.569246,-58.4711497",635000.0,635000.0,433.0,246.0,2581.300813008131,,0,1,2
280,4296,apartment,Belgrano,Capital Federal,"-34.5673754305,-58.450069446",239000.0,239000.0,132.0,122.0,1959.016393442623,,0,1,1
281,4299,store,Centro / Microcentro,Capital Federal,"-34.5980509672,-58.3797288069",195000.0,195000.0,49.0,49.0,3979.5918367346944,,0,43,3
282,4300,apartment,Palermo,Capital Federal,"-34.5711496,-58.4232966",130000.0,130000.0,36.0,32.0,4062.5,,0,3,1
283,4305,apartment,Belgrano,Capital Federal,"-34.5519693,-58.4434368",1200000.0,1200000.0,200.0,200.0,6000.0,,0,1,1
284,4306,apartment,Puerto Madero,Capital Federal,"-34.6098897,-58.361364",1100000.0,1100000.0,191.0,191.0,5759.162303664922,,0,7,1
285,4310,apartment,Recoleta,Capital Federal,"-34.5886091,-58.3853312",178000.0,178000.0,41.0,37.0,4810.810810810811,,0,15,1
286,4311,apartment,Recoleta,Capital Federal,"-34.5905426,-58.3872314",505000.0,505000.0,120.0,110.0,4590.909090909091,,0,15,1
287,4312,apartment,Recoleta,Capital Federal,"-34.5946641,-58.3791862",235000.0,235000.0,92.0,90.0,2611.1111111111113,,0,15,1
288,4313,apartment,Palermo,Capital Federal,"-34.5872575,-58.4088621",360000.0,360000.0,92.0,87.0,4137.931034482759,,0,3,1
289,4314,apartment,Recoleta,Capital Federal,"-34.5895459,-58.3973636",690000.0,690000.0,237.0,237.0,2911.3924050632922,,0,15,1
290,4315,apartment,San Cristobal,Capital Federal,"-34.6244262,-58.3973636",85000.0,85000.0,72.0,31.0,2741.935483870968,,0,34,1
291,4316,apartment,Puerto Madero,Capital Federal,"-34.6177194,-58.3620561",225000.0,225000.0,38.0,38.0,5921.0526315789475,,0,7,1
292,4317,PH,Almagro,Capital Federal,"-34.6110583,-58.4201892",230000.0,230000.0,90.0,65.0,3538.4615384615386,,0,11,0
293,4321,apartment,Balvanera,Capital Federal,"-34.6131034218,-58.4009127227",145000.0,145000.0,175.0,153.0,947.7124183006537,9000.0,0,8,1
294,4322,apartment,Palermo Hollywood,Capital Federal,"-34.5849171,-58.4429864",95000.0,95000.0,37.0,33.0,2878.787878787879,,0,23,1
295,4324,store,Villa del Parque,Capital Federal,"-34.6025915,-58.4889862",125000.0,125000.0,38.0,38.0,3289.4736842105267,800.0,0,37,3
296,4330,apartment,Recoleta,Capital Federal,"-34.5951279,-58.3784456",490000.0,490000.0,193.0,188.0,2606.3829787234044,10000.0,0,15,1
297,4333,apartment,Flores,Capital Federal,"-34.628518,-58.461035",110000.0,110000.0,85.0,72.0,1527.7777777777774,1000.0,0,4,1
298,4335,apartment,Palermo Soho,Capital Federal,"-34.5921821,-58.4269654",95000.0,95000.0,38.0,38.0,2500.0,1500.0,0,2,1
