property_type,place_name,state_name,lat-lon,price,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_per_m2,expenses
apartment,Las Ca�itas,Capital Federal,"-34.5645765751,-58.4372870022",235000.0,235000.0,68.0,48.0,4895.833333333333,
apartment,Belgrano,Capital Federal,"-34.5620844,-58.4566864",240000.0,240000.0,57.0,54.0,4444.444444444444,
store,Chacarita,Capital Federal,"-34.5901808,-58.4491521",175000.0,175000.0,80.0,80.0,2187.5,
apartment,Belgrano,Capital Federal,"-34.5621457,-58.449657",550000.0,550000.0,160.0,150.0,3666.666666666666,
apartment,Villa Crespo,Capital Federal,"-34.5976786,-58.4430195",62000.0,62000.0,33.0,31.0,2000.0,
apartment,Belgrano,Capital Federal,"-34.565318066,-58.4417518602",1100000.0,1100000.0,310.0,300.0,3666.666666666666,
apartment,Belgrano,Capital Federal,"-34.5652650561,-58.438232802",237895.0,237895.0,69.0,53.0,4488.584905660377,
apartment,Belgrano,Capital Federal,"-34.5652650561,-58.438232802",237895.0,237895.0,69.0,53.0,4488.584905660377,
apartment,Flores,Capital Federal,"-34.6255474,-58.4688765",99000.0,99000.0,65.0,62.0,1596.774193548387,
apartment,Nu�ez,Capital Federal,"-34.5427503,-58.4601452",229000.0,229000.0,66.0,59.0,3881.35593220339,
apartment,Nu�ez,Capital Federal,"-34.5427503,-58.4601452",135000.0,135000.0,45.0,39.0,3461.5384615384614,
apartment,Recoleta,Capital Federal,"-34.5883487899,-58.3900529339",620000.0,620000.0,191.0,181.0,3425.414364640884,
apartment,Belgrano,Capital Federal,"-34.5640079,-58.4567043",92600.0,92600.0,33.0,33.0,2806.060606060606,
apartment,Caballito,Capital Federal,"-34.610435,-58.443029",445000.0,445000.0,158.0,154.0,2889.6103896103896,
PH,Almagro,Capital Federal,"-34.56910735,-58.4084898",165000.0,165000.0,85.0,85.0,1941.1764705882354,
apartment,Palermo,Capital Federal,"-34.5888617,-58.4123072",147300.0,147300.0,39.0,35.0,4208.571428571428,
apartment,Puerto Madero,Capital Federal,"-34.6114635369,-58.3627451275",550000.0,550000.0,109.0,99.0,5555.555555555556,
apartment,Constituci�n,Capital Federal,"-34.6304059,-58.3827511",88900.0,88900.0,90.0,82.0,1084.1463414634147,
apartment,Puerto Madero,Capital Federal,"-34.6194333916,-58.3613734778",1195000.0,1195000.0,198.0,185.0,6459.459459459459,
apartment,Belgrano,Capital Federal,"-34.5620844,-58.4566864",340000.0,340000.0,128.0,120.0,2833.333333333333,
PH,Mataderos,Capital Federal,"-34.6572422,-58.5029706",53000.0,53000.0,28.0,28.0,1892.857142857143,
apartment,Recoleta,Capital Federal,"-34.5955984,-58.4127129",120000.0,120000.0,33.0,33.0,3636.363636363637,
apartment,Palermo,Capital Federal,"-34.5664787494,-58.4340748222",440000.0,440000.0,175.0,175.0,2514.285714285714,
apartment,Colegiales,Capital Federal,"-34.5769639,-58.4514688",238000.0,238000.0,126.0,120.0,1983.333333333333,
apartment,Villa Urquiza,Capital Federal,"-34.5617806,-58.4928894",267500.0,267500.0,127.0,123.0,2174.7967479674803,
apartment,Villa Crespo,Capital Federal,"-34.5950254,-58.4381255",305000.0,305000.0,120.0,114.0,2675.438596491228,
apartment,Barrio Norte,Capital Federal,"-34.5837821,-58.4042275",98000.0,98000.0,37.0,37.0,2648.648648648649,
apartment,Palermo Hollywood,Capital Federal,"-34.5765042465,-58.4314684478",135000.0,135000.0,47.0,41.0,3292.682926829268,1800.0
apartment,Saavedra,Capital Federal,"-34.555257,-58.492172",95000.0,95000.0,38.0,32.0,2968.75,
apartment,Saavedra,Capital Federal,"-34.555257,-58.492172",181000.0,181000.0,71.0,67.0,2701.492537313433,
house,Capital Federal,Capital Federal,,350000.0,350000.0,741.0,185.0,1891.891891891892,
house,Capital Federal,Capital Federal,,245000.0,245000.0,160.0,135.0,1814.8148148148148,
house,Capital Federal,Capital Federal,,430000.0,430000.0,125.0,156.0,2756.4102564102564,
house,Capital Federal,Capital Federal,,430000.0,430000.0,125.0,156.0,2756.4102564102564,
house,Capital Federal,Capital Federal,,1600000.0,1600000.0,1050.0,632.0,2531.645569620253,
apartment,Paternal,Capital Federal,"-34.6035937,-58.4654251",1099350.0,61655.59,27.0,27.0,40716.66666666666,
apartment,Paternal,Capital Federal,"-34.6035937,-58.4654251",1113420.0,62444.68,27.0,27.0,41237.77777777778,
apartment,Paternal,Capital Federal,"-34.6035937,-58.4654251",1127700.0,63245.56,27.0,27.0,41766.66666666666,
apartment,Paternal,Capital Federal,"-34.6035937,-58.4654251",1141980.0,64046.43,27.0,27.0,42295.55555555556,
apartment,Paternal,Capital Federal,"-34.6035937,-58.4654251",1327515.0,74451.92,32.0,32.0,41484.84375,
apartment,Paternal,Capital Federal,"-34.6035937,-58.4654251",1344630.0,75411.79,32.0,32.0,42019.6875,
apartment,Paternal,Capital Federal,"-34.6035937,-58.4654251",1361745.0,76371.66,32.0,32.0,42554.53125,
apartment,Paternal,Capital Federal,"-34.6035937,-58.4654251",1105545.0,62003.02,27.0,27.0,40946.11111111112,
apartment,Paternal,Capital Federal,"-34.6035937,-58.4654251",1120035.0,62815.68,27.0,27.0,41482.77777777778,
apartment,Paternal,Capital Federal,"-34.6035937,-58.4654251",1134525.0,63628.33,27.0,27.0,42019.444444444445,
apartment,Paternal,Capital Federal,"-34.6035937,-58.4654251",1148910.0,64435.09,27.0,27.0,42552.22222222222,
apartment,Paternal,Capital Federal,"-34.6035937,-58.4654251",1163400.0,65247.74,27.0,27.0,43088.88888888888,
apartment,Paternal,Capital Federal,"-34.6035937,-58.4654251",1330665.0,74628.58,33.0,33.0,40323.181818181816,
apartment,Paternal,Capital Federal,"-34.6035937,-58.4654251",1348200.0,75612.01,33.0,33.0,40854.545454545456,
apartment,Paternal,Capital Federal,"-34.6035937,-58.4654251",1365630.0,76589.55,33.0,33.0,41382.72727272727,
apartment,Paternal,Capital Federal,"-34.6035937,-58.4654251",1176525.0,65983.84,28.0,28.0,42018.75,
apartment,Paternal,Capital Federal,"-34.6035937,-58.4654251",1191540.0,66825.94,28.0,28.0,42555.0,
apartment,Paternal,Capital Federal,"-34.6035937,-58.4654251",1206555.0,67668.04,28.0,28.0,43091.25,
store,Recoleta,Capital Federal,"-34.5959674,-58.4097736",139000.0,139000.0,33.0,,,
apartment,Caballito,Capital Federal,"-34.6064821857,-58.4584048805",64500.0,64500.0,28.0,25.0,2580.0,
